"","month","acronym","media_count","media_threat"
"334",2019-04-01,"EASA",7,"no"
"335",2019-05-01,"EASA",4,"no"
"336",2019-06-01,"EASA",4,"no"
"337",2019-07-01,"EASA",13,"no"
"338",2019-08-01,"EASA",2,"no"
"339",2019-09-01,"EASA",3,"no"
"340",2019-10-01,"EASA",4,"no"
"341",2019-11-01,"EASA",7,"no"
"342",2019-12-01,"EASA",5,"no"
"343",2020-01-01,"EASA",13,"yes"
"344",2020-02-01,"EASA",4,"no"
"345",2020-03-01,"EASA",7,"no"
"346",2020-04-01,"EASA",2,"no"
"347",2020-05-01,"EASA",18,"yes"
"348",2020-06-01,"EASA",29,"yes"
"349",2020-07-01,"EASA",11,"no"
"350",2020-08-01,"EASA",5,"no"
"351",2020-09-01,"EASA",5,"no"
"352",2020-10-01,"EASA",8,"no"
"353",2020-11-01,"EASA",6,"no"
"354",2020-12-01,"EASA",7,"no"
"355",2021-01-01,"EASA",13,"no"
"356",2021-02-01,"EASA",3,"no"
"357",2021-03-01,"EASA",2,"no"
"358",2021-04-01,"EASA",3,"no"
"359",2021-05-01,"EASA",6,"no"
"360",2021-06-01,"EASA",6,"no"
"361",2015-07-01,"EBA",3,"no"
"362",2015-08-01,"EBA",4,"no"
"363",2015-09-01,"EBA",7,"no"
"364",2015-10-01,"EBA",4,"no"
"365",2015-11-01,"EBA",18,"no"
"366",2015-12-01,"EBA",4,"no"
"367",2016-01-01,"EBA",7,"no"
"368",2016-02-01,"EBA",19,"no"
"369",2016-03-01,"EBA",7,"no"
"370",2016-04-01,"EBA",1,"no"
"371",2016-05-01,"EBA",8,"no"
"372",2016-06-01,"EBA",27,"no"
"373",2016-07-01,"EBA",103,"yes"
"374",2016-08-01,"EBA",65,"yes"
"375",2016-09-01,"EBA",22,"no"
"376",2016-10-01,"EBA",21,"no"
"377",2016-11-01,"EBA",10,"no"
"378",2016-12-01,"EBA",18,"no"
"379",2017-01-01,"EBA",13,"no"
"380",2017-02-01,"EBA",20,"no"
"381",2017-03-01,"EBA",12,"no"
"382",2017-04-01,"EBA",26,"yes"
"383",2017-05-01,"EBA",14,"no"
"384",2017-06-01,"EBA",35,"yes"
"385",2017-07-01,"EBA",16,"no"
"386",2017-08-01,"EBA",31,"yes"
"387",2017-09-01,"EBA",17,"no"
"388",2017-10-01,"EBA",30,"no"
"389",2017-11-01,"EBA",65,"yes"
"390",2017-12-01,"EBA",19,"no"
"391",2018-01-01,"EBA",14,"no"
"392",2018-02-01,"EBA",16,"no"
"393",2018-03-01,"EBA",10,"no"
"394",2018-04-01,"EBA",9,"no"
"395",2018-05-01,"EBA",15,"no"
"396",2018-06-01,"EBA",22,"no"
"397",2018-07-01,"EBA",7,"no"
"398",2018-08-01,"EBA",9,"no"
"399",2018-09-01,"EBA",12,"no"
"400",2018-10-01,"EBA",13,"no"
"401",2018-11-01,"EBA",53,"yes"
"402",2018-12-01,"EBA",6,"no"
"403",2019-01-01,"EBA",9,"no"
"404",2019-02-01,"EBA",18,"no"
"405",2019-03-01,"EBA",24,"yes"
"406",2019-04-01,"EBA",5,"no"
"407",2019-05-01,"EBA",4,"no"
"408",2019-06-01,"EBA",5,"no"
"409",2019-07-01,"EBA",10,"no"
"410",2019-08-01,"EBA",3,"no"
"411",2019-09-01,"EBA",12,"no"
"412",2019-10-01,"EBA",10,"no"
"413",2019-11-01,"EBA",8,"no"
"414",2019-12-01,"EBA",7,"no"
"415",2020-01-01,"EBA",6,"no"
"416",2020-02-01,"EBA",4,"no"
"417",2020-03-01,"EBA",14,"no"
"418",2020-04-01,"EBA",8,"no"
"419",2020-05-01,"EBA",13,"no"
"420",2020-06-01,"EBA",13,"no"
"421",2020-07-01,"EBA",15,"no"
