"","agencyname","day","hearing"
"322","BEREC OFFICE",2016-05-17,0
"323","BEREC OFFICE",2016-05-18,0
"324","BEREC OFFICE",2016-05-19,0
"325","BEREC OFFICE",2016-05-20,0
"326","BEREC OFFICE",2016-05-21,0
"327","BEREC OFFICE",2016-05-22,0
"328","BEREC OFFICE",2016-05-23,0
"329","BEREC OFFICE",2016-05-24,0
"330","BEREC OFFICE",2016-05-25,0
"331","BEREC OFFICE",2016-05-26,0
"332","BEREC OFFICE",2016-05-27,0
"333","BEREC OFFICE",2016-05-28,0
"334","BEREC OFFICE",2016-05-29,0
"335","BEREC OFFICE",2016-05-30,0
"336","BEREC OFFICE",2016-05-31,0
"337","BEREC OFFICE",2016-06-01,0
"338","BEREC OFFICE",2016-06-02,0
"339","BEREC OFFICE",2016-06-03,0
"340","BEREC OFFICE",2016-06-04,0
"341","BEREC OFFICE",2016-06-05,0
"342","BEREC OFFICE",2016-06-06,0
"343","BEREC OFFICE",2016-06-07,0
"344","BEREC OFFICE",2016-06-08,0
"345","BEREC OFFICE",2016-06-09,0
"346","BEREC OFFICE",2016-06-10,0
"347","BEREC OFFICE",2016-06-11,0
"348","BEREC OFFICE",2016-06-12,0
"349","BEREC OFFICE",2016-06-13,0
"350","BEREC OFFICE",2016-06-14,0
"351","BEREC OFFICE",2016-06-15,0
"352","BEREC OFFICE",2016-06-16,0
"353","BEREC OFFICE",2016-06-17,0
"354","BEREC OFFICE",2016-06-18,0
"355","BEREC OFFICE",2016-06-19,0
"356","BEREC OFFICE",2016-06-20,0
"357","BEREC OFFICE",2016-06-21,0
"358","BEREC OFFICE",2016-06-22,0
"359","BEREC OFFICE",2016-06-23,0
"360","BEREC OFFICE",2016-06-24,0
"361","BEREC OFFICE",2016-06-25,0
"362","BEREC OFFICE",2016-06-26,0
"363","BEREC OFFICE",2016-06-27,0
"364","BEREC OFFICE",2016-06-28,0
"365","BEREC OFFICE",2016-06-29,0
"366","BEREC OFFICE",2016-06-30,0
"367","BEREC OFFICE",2016-07-01,0
"368","BEREC OFFICE",2016-07-02,0
"369","BEREC OFFICE",2016-07-03,0
"370","BEREC OFFICE",2016-07-04,0
"371","BEREC OFFICE",2016-07-05,0
"372","BEREC OFFICE",2016-07-06,0
"373","BEREC OFFICE",2016-07-07,0
"374","BEREC OFFICE",2016-07-08,0
"375","BEREC OFFICE",2016-07-09,0
"376","BEREC OFFICE",2016-07-10,0
"377","BEREC OFFICE",2016-07-11,0
"378","BEREC OFFICE",2016-07-12,0
"379","BEREC OFFICE",2016-07-13,0
"380","BEREC OFFICE",2016-07-14,0
"381","BEREC OFFICE",2016-07-15,0
"382","BEREC OFFICE",2016-07-16,0
"383","BEREC OFFICE",2016-07-17,0
"384","BEREC OFFICE",2016-07-18,0
"385","BEREC OFFICE",2016-07-19,0
"386","BEREC OFFICE",2016-07-20,0
"387","BEREC OFFICE",2016-07-21,0
"388","BEREC OFFICE",2016-07-22,0
"389","BEREC OFFICE",2016-07-23,0
"390","BEREC OFFICE",2016-07-24,0
"391","BEREC OFFICE",2016-07-25,0
"392","BEREC OFFICE",2016-07-26,0
"393","BEREC OFFICE",2016-07-27,0
"394","BEREC OFFICE",2016-07-28,0
"395","BEREC OFFICE",2016-07-29,0
"396","BEREC OFFICE",2016-07-30,0
"397","BEREC OFFICE",2016-07-31,0
"398","BEREC OFFICE",2016-08-01,0
"399","BEREC OFFICE",2016-08-02,0
"400","BEREC OFFICE",2016-08-03,0
"401","BEREC OFFICE",2016-08-04,0
"402","BEREC OFFICE",2016-08-05,0
"403","BEREC OFFICE",2016-08-06,0
"404","BEREC OFFICE",2016-08-07,0
"405","BEREC OFFICE",2016-08-08,0
"406","BEREC OFFICE",2016-08-09,0
"407","BEREC OFFICE",2016-08-10,0
"408","BEREC OFFICE",2016-08-11,0
"409","BEREC OFFICE",2016-08-12,0
"410","BEREC OFFICE",2016-08-13,0
"411","BEREC OFFICE",2016-08-14,0
"412","BEREC OFFICE",2016-08-15,0
"413","BEREC OFFICE",2016-08-16,0
"414","BEREC OFFICE",2016-08-17,0
"415","BEREC OFFICE",2016-08-18,0
"416","BEREC OFFICE",2016-08-19,0
"417","BEREC OFFICE",2016-08-20,0
"418","BEREC OFFICE",2016-08-21,0
"419","BEREC OFFICE",2016-08-22,0
"420","BEREC OFFICE",2016-08-23,0
"421","BEREC OFFICE",2016-08-24,0
"422","BEREC OFFICE",2016-08-25,0
"423","BEREC OFFICE",2016-08-26,0
"424","BEREC OFFICE",2016-08-27,0
"425","BEREC OFFICE",2016-08-28,0
"426","BEREC OFFICE",2016-08-29,0
"427","BEREC OFFICE",2016-08-30,0
"428","BEREC OFFICE",2016-08-31,0
"429","BEREC OFFICE",2016-09-01,0
"430","BEREC OFFICE",2016-09-02,0
"431","BEREC OFFICE",2016-09-03,0
"432","BEREC OFFICE",2016-09-04,0
"433","BEREC OFFICE",2016-09-05,0
"434","BEREC OFFICE",2016-09-06,0
"435","BEREC OFFICE",2016-09-07,0
"436","BEREC OFFICE",2016-09-08,0
"437","BEREC OFFICE",2016-09-09,0
"438","BEREC OFFICE",2016-09-10,0
"439","BEREC OFFICE",2016-09-11,0
"440","BEREC OFFICE",2016-09-12,0
"441","BEREC OFFICE",2016-09-13,0
"442","BEREC OFFICE",2016-09-14,0
"443","BEREC OFFICE",2016-09-15,0
"444","BEREC OFFICE",2016-09-16,0
"445","BEREC OFFICE",2016-09-17,0
"446","BEREC OFFICE",2016-09-18,0
"447","BEREC OFFICE",2016-09-19,0
"448","BEREC OFFICE",2016-09-20,0
"449","BEREC OFFICE",2016-09-21,0
"450","BEREC OFFICE",2016-09-22,0
"451","BEREC OFFICE",2016-09-23,0
"452","BEREC OFFICE",2016-09-24,0
"453","BEREC OFFICE",2016-09-25,0
"454","BEREC OFFICE",2016-09-26,0
"455","BEREC OFFICE",2016-09-27,0
"456","BEREC OFFICE",2016-09-28,0
"457","BEREC OFFICE",2016-09-29,0
"458","BEREC OFFICE",2016-09-30,0
"459","BEREC OFFICE",2016-10-01,0
"460","BEREC OFFICE",2016-10-02,0
"461","BEREC OFFICE",2016-10-03,0
"462","BEREC OFFICE",2016-10-04,0
"463","BEREC OFFICE",2016-10-05,0
"464","BEREC OFFICE",2016-10-06,0
"465","BEREC OFFICE",2016-10-07,0
"466","BEREC OFFICE",2016-10-08,0
"467","BEREC OFFICE",2016-10-09,0
"468","BEREC OFFICE",2016-10-10,0
"469","BEREC OFFICE",2016-10-11,0
"470","BEREC OFFICE",2016-10-12,0
"471","BEREC OFFICE",2016-10-13,0
"472","BEREC OFFICE",2016-10-14,0
"473","BEREC OFFICE",2016-10-15,0
"474","BEREC OFFICE",2016-10-16,0
"475","BEREC OFFICE",2016-10-17,0
"476","BEREC OFFICE",2016-10-18,0
"477","BEREC OFFICE",2016-10-19,0
"478","BEREC OFFICE",2016-10-20,0
"479","BEREC OFFICE",2016-10-21,0
"480","BEREC OFFICE",2016-10-22,0
"481","BEREC OFFICE",2016-10-23,0
"482","BEREC OFFICE",2016-10-24,0
"483","BEREC OFFICE",2016-10-25,0
"484","BEREC OFFICE",2016-10-26,0
"485","BEREC OFFICE",2016-10-27,0
"486","BEREC OFFICE",2016-10-28,0
"487","BEREC OFFICE",2016-10-29,0
"488","BEREC OFFICE",2016-10-30,0
"489","BEREC OFFICE",2016-10-31,0
"490","BEREC OFFICE",2016-11-01,0
"491","BEREC OFFICE",2016-11-02,0
"492","BEREC OFFICE",2016-11-03,0
"493","BEREC OFFICE",2016-11-04,0
"494","BEREC OFFICE",2016-11-05,0
"495","BEREC OFFICE",2016-11-06,0
"496","BEREC OFFICE",2016-11-07,0
"497","BEREC OFFICE",2016-11-08,0
"498","BEREC OFFICE",2016-11-09,0
"499","BEREC OFFICE",2016-11-10,0
"500","BEREC OFFICE",2016-11-11,0
"501","BEREC OFFICE",2016-11-12,0
"502","BEREC OFFICE",2016-11-13,0
"503","BEREC OFFICE",2016-11-14,0
"504","BEREC OFFICE",2016-11-15,0
"505","BEREC OFFICE",2016-11-16,0
"506","BEREC OFFICE",2016-11-17,0
"507","BEREC OFFICE",2016-11-18,0
"508","BEREC OFFICE",2016-11-19,0
"509","BEREC OFFICE",2016-11-20,0
"510","BEREC OFFICE",2016-11-21,0
"511","BEREC OFFICE",2016-11-22,0
"512","BEREC OFFICE",2016-11-23,0
"513","BEREC OFFICE",2016-11-24,0
"514","BEREC OFFICE",2016-11-25,0
"515","BEREC OFFICE",2016-11-26,0
"516","BEREC OFFICE",2016-11-27,0
"517","BEREC OFFICE",2016-11-28,0
"518","BEREC OFFICE",2016-11-29,0
"519","BEREC OFFICE",2016-11-30,0
"520","BEREC OFFICE",2016-12-01,0
"521","BEREC OFFICE",2016-12-02,0
"522","BEREC OFFICE",2016-12-03,0
"523","BEREC OFFICE",2016-12-04,0
"524","BEREC OFFICE",2016-12-05,0
"525","BEREC OFFICE",2016-12-06,0
"526","BEREC OFFICE",2016-12-07,0
"527","BEREC OFFICE",2016-12-08,0
"528","BEREC OFFICE",2016-12-09,0
"529","BEREC OFFICE",2016-12-10,0
"530","BEREC OFFICE",2016-12-11,0
"531","BEREC OFFICE",2016-12-12,0
"532","BEREC OFFICE",2016-12-13,0
"533","BEREC OFFICE",2016-12-14,0
"534","BEREC OFFICE",2016-12-15,0
"535","BEREC OFFICE",2016-12-16,0
"536","BEREC OFFICE",2016-12-17,0
"537","BEREC OFFICE",2016-12-18,0
"538","BEREC OFFICE",2016-12-19,0
"539","BEREC OFFICE",2016-12-20,0
"540","BEREC OFFICE",2016-12-21,0
"541","BEREC OFFICE",2016-12-22,0
"542","BEREC OFFICE",2016-12-23,0
"543","BEREC OFFICE",2016-12-24,0
"544","BEREC OFFICE",2016-12-25,0
"545","BEREC OFFICE",2016-12-26,0
"546","BEREC OFFICE",2016-12-27,0
"547","BEREC OFFICE",2016-12-28,0
"548","BEREC OFFICE",2016-12-29,0
"549","BEREC OFFICE",2016-12-30,0
"550","BEREC OFFICE",2016-12-31,0
"551","BEREC OFFICE",2017-01-01,0
"552","BEREC OFFICE",2017-01-02,0
"553","BEREC OFFICE",2017-01-03,0
"554","BEREC OFFICE",2017-01-04,0
"555","BEREC OFFICE",2017-01-05,0
"556","BEREC OFFICE",2017-01-06,0
"557","BEREC OFFICE",2017-01-07,0
"558","BEREC OFFICE",2017-01-08,0
"559","BEREC OFFICE",2017-01-09,0
"560","BEREC OFFICE",2017-01-10,0
"561","BEREC OFFICE",2017-01-11,0
"562","BEREC OFFICE",2017-01-12,0
"563","BEREC OFFICE",2017-01-13,0
"564","BEREC OFFICE",2017-01-14,0
