"","agencyname","month","hearing"
"422","EIGE",2016-02-01,0
"423","EIGE",2016-03-01,0
"424","EIGE",2016-04-01,0
"425","EIGE",2016-05-01,0
"426","EIGE",2016-06-01,0
"427","EIGE",2016-07-01,0
"428","EIGE",2016-08-01,0
"429","EIGE",2016-09-01,0
"430","EIGE",2016-10-01,0
"431","EIGE",2016-11-01,0
"432","EIGE",2016-12-01,0
"433","EIGE",2017-01-01,0
"434","EIGE",2017-02-01,1
"435","EIGE",2017-03-01,3
"436","EIGE",2017-04-01,0
"437","EIGE",2017-05-01,0
"438","EIGE",2017-06-01,0
"439","EIGE",2017-07-01,0
"440","EIGE",2017-08-01,0
"441","EIGE",2017-09-01,0
"442","EIGE",2017-10-01,1
"443","EIGE",2017-11-01,2
"444","EIGE",2017-12-01,0
"445","EIGE",2018-01-01,0
"446","EIGE",2018-02-01,0
"447","EIGE",2018-03-01,0
"448","EIGE",2018-04-01,0
"449","EIGE",2018-05-01,0
"450","EIGE",2018-06-01,0
"451","EIGE",2018-07-01,0
"452","EIGE",2018-08-01,0
"453","EIGE",2018-09-01,1
"454","EIGE",2018-10-01,1
"455","EIGE",2018-11-01,1
"456","EIGE",2018-12-01,0
"457","EIGE",2019-01-01,0
"458","EIGE",2019-02-01,1
"459","EIGE",2019-03-01,1
"460","EIGE",2019-04-01,0
"461","EIOPA",2015-07-01,0
"462","EIOPA",2015-08-01,0
"463","EIOPA",2015-09-01,0
"464","EIOPA",2015-10-01,0
"465","EIOPA",2015-11-01,0
"466","EIOPA",2015-12-01,1
"467","EIOPA",2016-01-01,0
"468","EIOPA",2016-02-01,0
"469","EIOPA",2016-03-01,0
"470","EIOPA",2016-04-01,0
"471","EIOPA",2016-05-01,0
"472","EIOPA",2016-06-01,0
"473","EIOPA",2016-07-01,0
"474","EIOPA",2016-08-01,1
"475","EIOPA",2016-09-01,0
"476","EIOPA",2016-10-01,0
"477","EIOPA",2016-11-01,0
"478","EIOPA",2016-12-01,0
"479","EIOPA",2017-01-01,0
"480","EIOPA",2017-02-01,0
"481","EIOPA",2017-03-01,1
"482","EIOPA",2017-04-01,0
"483","EIOPA",2017-05-01,0
"484","EIOPA",2017-06-01,0
"485","EIOPA",2017-07-01,0
"486","EIOPA",2017-08-01,0
"487","EIOPA",2017-09-01,0
"488","EIOPA",2017-10-01,0
"489","EIOPA",2017-11-01,0
"490","EIOPA",2017-12-01,0
"491","EIOPA",2018-01-01,0
"492","EIOPA",2018-02-01,0
"493","EIOPA",2018-03-01,0
"494","EIOPA",2018-04-01,0
"495","EIOPA",2018-05-01,1
"496","EIOPA",2018-06-01,0
"497","EIOPA",2018-07-01,0
"498","EIOPA",2018-08-01,0
"499","EIOPA",2018-09-01,0
"500","EIOPA",2018-10-01,0
"501","EIOPA",2018-11-01,0
"502","EIOPA",2018-12-01,0
"503","EIOPA",2019-01-01,0
"504","EIOPA",2019-02-01,0
"505","EIOPA",2019-03-01,0
"506","EIOPA",2019-04-01,0
"507","EMA",2015-07-01,0
"508","EMA",2015-08-01,0
"509","EMA",2015-09-01,0
"510","EMA",2015-10-01,0
"511","EMA",2015-11-01,1
"512","EMA",2015-12-01,0
"513","EMA",2016-01-01,0
"514","EMA",2016-02-01,0
"515","EMA",2016-03-01,0
"516","EMA",2016-04-01,0
"517","EMA",2016-05-01,0
