"","agencyname","month","information","joined","no.response","response","discussion","positive","neutral","negative","audience_count","hearing","media_count","media_threat","audience_threat","criticism.12","praise.12","neutral.12","valence.12","criticism.3","praise.3","neutral.3","valence.3","media_count.3","media_count.12"
"56","EBA","2015-09-01",18,"yes",0,0,0,0,0,0,110,0,7,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","ECDC","2015-09-01",29,"yes",27,0,27,10,4,13,1087,1,3,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","ECHA","2015-09-01",107,"yes",6,2,8,4,2,2,483,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","EEA","2015-09-01",97,"yes",16,0,16,7,2,7,1508,0,5,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","EFCA","2015-09-01",0,"yes",0,0,0,0,0,0,5,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","EFSA","2015-09-01",41,"yes",2,0,2,2,0,0,685,1,4,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","EIGE","2015-09-01",5,"yes",1,0,1,0,0,1,141,1,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","EIOPA","2015-09-01",18,"yes",0,0,0,0,0,0,120,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","EMA","2015-09-01",72,"yes",2,0,2,2,0,0,666,0,5,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","EMCDDA","2015-09-01",28,"yes",4,0,4,2,2,0,460,0,1,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","EMSA","2015-09-01",29,"yes",0,0,0,0,0,0,76,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","ENISA","2015-09-01",46,"yes",7,0,7,5,1,1,1109,0,1,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","ERA","2015-09-01",40,"yes",2,0,2,0,1,1,175,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","ESMA","2015-09-01",35,"yes",1,0,1,0,1,0,561,0,1,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","EU-OSHA","2015-09-01",193,"yes",8,0,8,5,1,2,865,0,1,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","EUIPO","2015-09-01",40,"yes",4,0,4,2,2,0,0,0,5,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","EUROFOUND","2015-09-01",42,"yes",4,1,5,1,3,1,464,1,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","FRA","2015-09-01",48,"yes",19,2,21,11,4,6,1332,1,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","FRONTEX","2015-09-01",48,"yes",21,2,23,10,11,2,34,1,161,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","SRB","2015-09-01",3,"yes",1,0,1,1,0,0,14,0,2,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","ACER","2015-10-01",NA,"no",NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"77","BEREC OFFICE","2015-10-01",44,"yes",2,0,2,0,1,1,409,0,0,"no","no",NA,NA,NA,NA,0,0,1,0,0,NA
"78","CEDEFOP","2015-10-01",34,"yes",5,1,6,3,2,1,697,0,0,"no","no",NA,NA,NA,NA,1,1,1,0,0,NA
"79","CPVO","2015-10-01",35,"yes",1,0,1,1,0,0,68,0,0,"no","no",NA,NA,NA,NA,0,0,1,0,0,NA
"80","EASA","2015-10-01",3,"yes",2,0,2,2,0,0,503,0,10,"no","no",NA,NA,NA,NA,4,5,2,0.0909090909090909,8,NA
"81","EBA","2015-10-01",14,"yes",2,0,2,1,1,0,138,0,4,"no","no",NA,NA,NA,NA,0,0,1,0,14,NA
"82","ECDC","2015-10-01",16,"yes",7,2,9,4,2,3,544,0,0,"no","no",NA,NA,NA,NA,15,12,5,-0.09375,5,NA
"83","ECHA","2015-10-01",77,"yes",2,2,4,2,2,0,360,0,0,"no","no",NA,NA,NA,NA,2,7,6,0.333333333333333,0,NA
"84","EEA","2015-10-01",61,"yes",11,6,17,6,6,5,1625,0,2,"no","no",NA,NA,NA,NA,16,25,15,0.160714285714286,7,NA
"85","EFCA","2015-10-01",18,"yes",0,0,0,0,0,0,113,0,0,"no","no",NA,NA,NA,NA,0,1,0,1,0,NA
"86","EFSA","2015-10-01",86,"yes",3,0,3,3,0,0,984,0,6,"no","no",NA,NA,NA,NA,3,10,3,0.4375,20,NA
"87","EIGE","2015-10-01",10,"yes",3,0,3,0,1,2,182,1,1,"no","no",NA,NA,NA,NA,1,1,0,0,0,NA
"88","EIOPA","2015-10-01",7,"yes",0,0,0,0,0,0,97,0,0,"no","no",NA,NA,NA,NA,0,1,2,0.333333333333333,1,NA
"89","EMA","2015-10-01",63,"yes",2,0,2,1,1,0,758,0,8,"no","no",NA,NA,NA,NA,3,9,3,0.4,22,NA
"90","EMCDDA","2015-10-01",16,"yes",2,0,2,1,1,0,411,0,0,"no","no",NA,NA,NA,NA,3,5,2,0.2,4,NA
"91","EMSA","2015-10-01",10,"yes",2,0,2,0,2,0,39,0,0,"no","no",NA,NA,NA,NA,0,0,0,0,0,NA
"92","ENISA","2015-10-01",42,"yes",8,2,10,9,1,0,1259,0,0,"no","no",NA,NA,NA,NA,1,10,4,0.6,1,NA
"93","ERA","2015-10-01",7,"yes",0,0,0,0,0,0,11,0,0,"no","no",NA,NA,NA,NA,2,2,1,0,1,NA
"94","ESMA","2015-10-01",46,"yes",3,1,4,2,1,1,615,0,0,"no","no",NA,NA,NA,NA,1,2,1,0.25,3,NA
"95","EU-OSHA","2015-10-01",87,"yes",5,1,6,2,3,1,1344,0,0,"no","no",NA,NA,NA,NA,2,10,2,0.571428571428571,1,NA
"96","EUIPO","2015-10-01",61,"yes",1,0,1,1,0,0,0,0,2,"no","no",NA,NA,NA,NA,1,3,4,0.25,6,NA
"97","EUROFOUND","2015-10-01",19,"yes",1,0,1,1,0,0,270,0,0,"no","no",NA,NA,NA,NA,3,4,7,0.0714285714285714,1,NA
"98","FRA","2015-10-01",54,"yes",12,0,12,4,5,3,1166,0,1,"no","no",NA,NA,NA,NA,11,17,6,0.176470588235294,1,NA
"99","FRONTEX","2015-10-01",42,"yes",17,1,18,7,4,7,77,0,136,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,324,NA
"100","SRB","2015-10-01",13,"yes",0,1,1,1,0,0,30,0,0,"no","no",NA,NA,NA,NA,0,1,0,1,3,NA
"101","ACER","2015-11-01",NA,"no",NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
