"","agencyname","month","information","joined","no.response","response","discussion","positive","neutral","negative","audience_count","hearing","media_count","media_threat","audience_threat","criticism.12","praise.12","neutral.12","valence.12","criticism.3","praise.3","neutral.3","valence.3","media_count.3","media_count.12"
"948","FRA","2018-08-01",34,"yes",27,0,27,13,5,9,5106,0,1,"no","no",177,156,62,-0.0531645569620253,35,28,10,-0.0958904109589041,1,16
"949","FRONTEX","2018-08-01",18,"yes",22,0,22,5,7,10,1654,0,47,"no","no",66,55,40,-0.0683229813664596,13,11,11,-0.0571428571428571,282,525
"950","SRB","2018-08-01",23,"yes",9,0,9,1,1,7,476,0,10,"yes","no",24,12,1,-0.324324324324324,12,4,0,-0.5,25,135
"951","ACER","2018-09-01",2,"yes",1,0,1,0,0,1,105,0,1,"no","no",0,6,3,0.666666666666667,0,4,1,0.8,1,2
"952","BEREC OFFICE","2018-09-01",5,"yes",0,0,0,0,0,0,47,0,0,"no","no",3,4,2,0.111111111111111,0,1,0,1,1,1
"953","CEDEFOP","2018-09-01",34,"yes",1,0,1,1,0,0,860,0,0,"no","no",0,17,10,0.62962962962963,0,5,1,0.833333333333333,0,1
"954","CPVO","2018-09-01",9,"yes",0,0,0,0,0,0,32,0,0,"no","no",1,1,1,0,0,0,0,0,0,1
"955","EASA","2018-09-01",6,"yes",3,0,3,2,1,0,1559,0,4,"no","no",3,33,18,0.555555555555556,0,6,4,0.6,25,74
"956","EBA","2018-09-01",16,"yes",2,0,2,1,1,0,286,0,12,"no","no",11,10,9,-0.0333333333333333,0,1,0,1,38,233
"957","ECDC","2018-09-01",11,"yes",2,0,2,0,2,0,924,0,0,"no","no",1,14,11,0.5,1,4,1,0.5,8,26
"958","ECHA","2018-09-01",38,"yes",20,1,21,7,3,11,1146,0,3,"yes","no",59,74,37,0.0882352941176471,20,22,13,0.0363636363636364,9,47
"959","EEA","2018-09-01",26,"yes",7,0,7,2,4,1,2402,0,2,"no","no",25,64,23,0.348214285714286,6,14,3,0.347826086956522,6,35
"960","EFCA","2018-09-01",3,"yes",0,0,0,0,0,0,62,0,0,"no","no",0,5,2,0.714285714285714,0,2,1,0.666666666666667,0,1
"961","EFSA","2018-09-01",142,"yes",17,2,19,14,3,2,2762,0,3,"no","no",19,42,20,0.283950617283951,2,9,5,0.4375,34,142
"962","EIGE","2018-09-01",19,"yes",3,0,3,0,0,3,423,1,0,"no","no",24,40,20,0.19047619047619,5,14,4,0.391304347826087,1,10
"963","EIOPA","2018-09-01",9,"yes",1,0,1,1,0,0,192,0,0,"no","no",3,5,1,0.222222222222222,0,2,0,1,1,7
"964","EMA","2018-09-01",25,"yes",14,2,16,8,5,3,1778,0,16,"no","no",30,95,35,0.40625,6,15,7,0.321428571428571,59,344
"965","EMCDDA","2018-09-01",5,"yes",2,1,3,1,1,1,371,0,2,"no","no",13,28,11,0.288461538461538,2,7,2,0.454545454545455,17,29
"966","EMSA","2018-09-01",13,"yes",2,0,2,2,0,0,244,0,0,"no","no",2,5,1,0.375,0,0,0,0,0,1
"967","ENISA","2018-09-01",76,"yes",5,1,6,4,2,0,2065,0,0,"no","no",19,60,30,0.376146788990826,2,8,6,0.375,0,5
"968","ERA","2018-09-01",30,"yes",2,0,2,2,0,0,281,0,1,"yes","no",1,13,3,0.705882352941177,0,2,1,0.666666666666667,0,0
"969","ESMA","2018-09-01",36,"yes",4,0,4,2,1,1,331,0,4,"no","no",111,41,38,-0.368421052631579,16,9,1,-0.269230769230769,2,42
"970","EU-OSHA","2018-09-01",38,"yes",8,0,8,3,1,4,834,0,2,"yes","no",13,41,10,0.4375,5,10,5,0.25,0,2
"971","EUIPO","2018-09-01",77,"yes",15,0,15,9,4,2,1068,0,2,"no","no",18,65,30,0.415929203539823,4,24,10,0.526315789473684,10,25
"972","EUROFOUND","2018-09-01",25,"yes",3,0,3,1,0,2,717,0,0,"no","no",5,19,6,0.466666666666667,0,2,0,1,0,4
"973","FRA","2018-09-01",99,"yes",55,0,55,22,6,27,5584,1,2,"no","no",182,168,65,-0.0337349397590361,30,32,11,0.0273972602739726,1,17
"974","FRONTEX","2018-09-01",18,"yes",12,0,12,2,3,7,1885,1,91,"yes","no",63,50,42,-0.0838709677419355,18,10,14,-0.19047619047619,303,525
"975","SRB","2018-09-01",34,"yes",15,0,15,6,0,9,993,0,4,"no","no",31,12,2,-0.422222222222222,14,3,1,-0.611111111111111,30,132
"976","ACER","2018-10-01",22,"yes",0,0,0,0,0,0,250,0,0,"no","no",1,6,3,0.5,1,4,1,0.5,1,3
"977","BEREC OFFICE","2018-10-01",55,"yes",2,1,3,1,2,0,370,0,0,"no","no",2,3,2,0.142857142857143,0,1,0,1,1,1
"978","CEDEFOP","2018-10-01",52,"yes",0,0,0,0,0,0,1061,0,0,"no","no",0,13,8,0.619047619047619,0,1,0,1,0,1
"979","CPVO","2018-10-01",11,"yes",0,0,0,0,0,0,58,0,0,"no","no",1,1,0,0,0,0,0,0,0,1
"980","EASA","2018-10-01",11,"yes",5,0,5,4,1,0,1071,0,4,"no","no",3,35,19,0.56140350877193,0,7,2,0.777777777777778,20,78
"981","EBA","2018-10-01",10,"yes",2,0,2,2,0,0,372,1,13,"no","no",6,11,10,0.185185185185185,0,2,1,0.666666666666667,28,228
"982","ECDC","2018-10-01",13,"yes",1,0,1,1,0,0,1241,0,0,"no","no",1,14,9,0.541666666666667,1,4,3,0.375,8,20
"983","ECHA","2018-10-01",67,"yes",2,0,2,1,1,0,950,0,1,"no","no",69,78,40,0.0481283422459893,28,24,10,-0.0645161290322581,11,46
"984","EEA","2018-10-01",34,"yes",13,0,13,7,3,3,2353,0,2,"no","no",26,62,27,0.31304347826087,6,11,6,0.217391304347826,6,36
"985","EFCA","2018-10-01",20,"yes",3,0,3,3,0,0,351,0,0,"no","yes",0,5,1,0.833333333333333,0,1,0,1,0,1
"986","EFSA","2018-10-01",91,"yes",4,0,4,2,1,1,1909,0,8,"no","no",21,51,20,0.326086956521739,4,20,6,0.533333333333333,31,134
"987","EIGE","2018-10-01",30,"yes",10,0,10,7,2,1,1077,1,2,"no","no",23,39,18,0.2,6,6,1,0,0,9
"988","EIOPA","2018-10-01",5,"yes",0,0,0,0,0,0,220,0,0,"no","no",1,5,0,0.666666666666667,0,1,0,1,1,6
"989","EMA","2018-10-01",20,"yes",2,0,2,0,0,2,1655,1,12,"no","no",27,100,37,0.445121951219512,7,16,9,0.28125,58,312
"990","EMCDDA","2018-10-01",13,"yes",9,0,9,2,1,6,765,0,3,"no","no",11,24,11,0.282608695652174,2,5,1,0.375,15,28
"991","EMSA","2018-10-01",18,"yes",2,0,2,1,1,0,283,0,0,"no","no",2,7,1,0.5,0,2,0,1,0,1
"992","ENISA","2018-10-01",86,"yes",21,0,21,15,4,2,4705,0,0,"no","no",16,62,29,0.429906542056075,1,8,7,0.4375,0,3
"993","ERA","2018-10-01",14,"yes",1,0,1,0,1,0,143,0,0,"no","no",1,14,3,0.722222222222222,0,3,0,1,1,1
"994","ESMA","2018-10-01",37,"yes",2,0,2,1,0,1,1302,0,2,"no","yes",54,42,28,-0.0967741935483871,9,10,1,0.05,6,44
"995","EU-OSHA","2018-10-01",43,"yes",10,0,10,7,2,1,1442,0,0,"no","no",16,41,10,0.373134328358209,8,10,5,0.0869565217391304,2,4
"996","EUIPO","2018-10-01",89,"yes",12,0,12,7,2,3,1289,0,1,"no","no",19,70,32,0.421487603305785,2,14,11,0.444444444444444,6,23
"997","EUROFOUND","2018-10-01",52,"yes",7,2,9,6,1,2,995,0,0,"no","no",6,15,5,0.346153846153846,2,2,0,0,0,3
"998","FRA","2018-10-01",57,"yes",27,0,27,11,3,13,3852,1,0,"no","no",189,178,62,-0.0256410256410256,47,39,15,-0.0792079207920792,3,17
"999","FRONTEX","2018-10-01",35,"yes",10,0,10,6,2,2,2695,0,41,"no","no",65,46,43,-0.123376623376623,20,10,13,-0.232558139534884,241,576
"1000","SRB","2018-10-01",64,"yes",24,0,24,10,6,8,1525,0,3,"no","yes",36,16,1,-0.377358490566038,23,8,1,-0.46875,22,117
"1001","ACER","2018-11-01",1,"yes",0,0,0,0,0,0,80,0,0,"no","no",1,5,3,0.444444444444444,1,0,0,-1,1,3
"1002","BEREC OFFICE","2018-11-01",1,"yes",0,0,0,0,0,0,160,1,1,"yes","no",0,4,3,0.571428571428571,0,1,2,0.333333333333333,1,1
"1003","CEDEFOP","2018-11-01",91,"yes",3,1,4,4,0,0,1753,0,0,"no","no",0,13,8,0.619047619047619,0,1,0,1,0,0
"1004","CPVO","2018-11-01",4,"yes",0,0,0,0,0,0,40,0,0,"no","no",1,1,0,0,0,0,0,0,0,0
"1005","EASA","2018-11-01",7,"yes",3,0,3,1,1,1,848,0,16,"yes","no",3,38,20,0.573770491803279,0,7,2,0.777777777777778,13,78
"1006","EBA","2018-11-01",12,"yes",2,0,2,0,1,1,812,0,53,"yes","no",6,12,10,0.214285714285714,0,4,1,0.8,34,211
"1007","ECDC","2018-11-01",32,"yes",12,0,12,6,4,2,2916,0,1,"no","no",1,13,6,0.6,0,3,2,0.6,6,20
"1008","ECHA","2018-11-01",51,"yes",15,0,15,7,3,5,1158,0,0,"no","no",68,72,39,0.0223463687150838,23,16,9,-0.145833333333333,10,41
"1009","EEA","2018-11-01",27,"yes",12,0,12,3,3,6,2752,0,8,"no","no",29,65,27,0.297520661157025,6,14,8,0.285714285714286,4,30
"1010","EFCA","2018-11-01",10,"yes",0,0,0,0,0,0,222,0,0,"no","no",0,8,1,0.888888888888889,0,4,0,1,0,1
"1011","EFSA","2018-11-01",56,"yes",8,1,9,7,2,0,1878,0,6,"no","no",19,49,21,0.337078651685393,3,18,4,0.6,26,120
"1012","EIGE","2018-11-01",37,"yes",10,0,10,1,1,8,753,1,3,"yes","no",22,36,16,0.189189189189189,6,10,2,0.222222222222222,2,8
"1013","EIOPA","2018-11-01",102,"yes",4,0,4,1,3,0,498,0,0,"no","yes",1,5,0,0.666666666666667,0,1,0,1,0,6
"1014","EMA","2018-11-01",19,"yes",3,0,3,2,1,0,2767,0,13,"no","no",28,94,35,0.420382165605096,7,11,6,0.166666666666667,45,270
"1015","EMCDDA","2018-11-01",5,"yes",2,0,2,2,0,0,759,0,2,"no","no",16,22,11,0.122448979591837,7,5,2,-0.142857142857143,13,31
"1016","EMSA","2018-11-01",13,"yes",1,0,1,1,0,0,273,0,0,"no","no",2,8,2,0.5,0,3,1,0.75,0,1
"1017","ENISA","2018-11-01",42,"yes",13,0,13,9,2,2,1696,0,0,"no","no",15,69,28,0.482142857142857,2,22,9,0.606060606060606,0,1
"1018","ERA","2018-11-01",5,"yes",1,0,1,1,0,0,167,0,0,"no","no",1,14,4,0.684210526315789,0,2,1,0.666666666666667,1,1
"1019","ESMA","2018-11-01",47,"yes",6,0,6,1,0,5,582,0,3,"no","no",45,40,18,-0.0485436893203883,8,7,1,-0.0625,8,45
"1020","EU-OSHA","2018-11-01",29,"yes",2,0,2,2,0,0,1149,0,0,"no","no",14,46,12,0.444444444444444,6,14,5,0.32,2,3
"1021","EUIPO","2018-11-01",88,"yes",8,0,8,2,3,3,1028,0,0,"no","no",22,76,34,0.409090909090909,5,18,10,0.393939393939394,3,22
"1022","EUROFOUND","2018-11-01",28,"yes",7,0,7,4,1,2,640,0,0,"no","no",7,21,6,0.411764705882353,4,8,1,0.307692307692308,0,2
"1023","FRA","2018-11-01",50,"yes",28,0,28,5,3,20,3956,3,5,"yes","no",185,181,58,-0.00943396226415094,49,46,14,-0.0275229357798165,3,15
"1024","FRONTEX","2018-11-01",30,"yes",10,0,10,4,4,2,2145,1,18,"no","no",64,47,43,-0.11038961038961,19,13,12,-0.136363636363636,179,605
"1025","SRB","2018-11-01",36,"yes",6,0,6,2,0,4,2003,0,3,"no","yes",44,26,7,-0.233766233766234,24,17,7,-0.145833333333333,17,114
"1026","ACER","2018-12-01",0,"yes",0,0,0,0,0,0,162,0,0,"no","no",1,5,3,0.444444444444444,1,0,0,-1,1,2
"1027","BEREC OFFICE","2018-12-01",30,"yes",1,0,1,0,1,0,243,0,0,"no","no",0,4,3,0.571428571428571,0,1,2,0.333333333333333,1,2
"1028","CEDEFOP","2018-12-01",11,"yes",0,0,0,0,0,0,769,0,0,"no","no",0,16,3,0.842105263157895,0,5,0,1,0,0
"1029","CPVO","2018-12-01",6,"yes",0,0,0,0,0,0,10,0,0,"no","no",1,1,0,0,0,0,0,0,0,0
"1030","EASA","2018-12-01",9,"yes",3,0,3,1,0,2,919,0,8,"no","no",4,31,18,0.509433962264151,1,7,3,0.545454545454545,24,90
"1031","EBA","2018-12-01",20,"yes",5,0,5,1,0,4,406,0,6,"no","no",5,7,8,0.1,1,3,2,0.333333333333333,78,199
"1032","ECDC","2018-12-01",19,"yes",6,0,6,4,0,2,1086,0,0,"no","no",3,18,10,0.483870967741935,2,7,6,0.333333333333333,1,20
"1033","ECHA","2018-12-01",24,"yes",5,2,7,7,0,0,605,0,2,"no","no",73,77,40,0.0210526315789474,16,15,7,-0.0263157894736842,4,36
"1034","EEA","2018-12-01",11,"yes",5,0,5,1,1,3,1594,0,3,"no","no",28,56,28,0.25,10,12,10,0.0625,12,32
"1035","EFCA","2018-12-01",6,"yes",2,2,4,4,0,0,147,0,0,"no","no",0,6,1,0.857142857142857,0,3,0,1,0,1
"1036","EFSA","2018-12-01",48,"yes",4,0,4,2,2,0,1464,0,4,"no","no",18,50,23,0.351648351648352,3,23,6,0.625,17,116
"1037","EIGE","2018-12-01",17,"yes",3,0,3,2,1,0,258,0,0,"no","no",26,36,15,0.12987012987013,12,8,3,-0.173913043478261,5,10
"1038","EIOPA","2018-12-01",12,"yes",0,0,0,0,0,0,176,0,0,"no","no",1,4,3,0.375,0,2,3,0.4,0,3
"1039","EMA","2018-12-01",12,"yes",1,0,1,0,1,0,2241,0,11,"no","no",20,71,26,0.435897435897436,5,10,6,0.238095238095238,41,205
"1040","EMCDDA","2018-12-01",32,"yes",3,0,3,3,0,0,986,0,6,"yes","no",15,21,9,0.133333333333333,7,5,2,-0.142857142857143,7,33
"1041","EMSA","2018-12-01",13,"yes",1,0,1,1,0,0,234,0,0,"no","no",1,7,2,0.6,0,4,1,0.8,0,1
"1042","ENISA","2018-12-01",21,"yes",14,0,14,5,5,4,1553,0,0,"no","no",15,71,29,0.48695652173913,4,28,8,0.6,0,1
"1043","ERA","2018-12-01",4,"yes",0,0,0,0,0,0,154,0,0,"no","no",1,10,4,0.6,0,3,1,0.75,1,1
"1044","ESMA","2018-12-01",34,"yes",2,0,2,0,1,1,406,0,1,"no","no",50,40,16,-0.0943396226415094,7,4,1,-0.25,9,45
"1045","EU-OSHA","2018-12-01",33,"yes",5,0,5,5,0,0,631,0,0,"no","no",13,34,10,0.368421052631579,5,12,3,0.35,2,3
"1046","EUIPO","2018-12-01",79,"yes",8,0,8,5,1,2,662,0,0,"no","no",21,75,37,0.406015037593985,8,18,9,0.285714285714286,3,21
"1047","EUROFOUND","2018-12-01",19,"yes",0,0,0,0,0,0,551,0,1,"no","no",7,17,4,0.357142857142857,6,11,2,0.263157894736842,0,2
"1048","FRA","2018-12-01",32,"yes",31,0,31,8,4,19,5526,0,6,"yes","no",193,180,57,-0.0302325581395349,60,38,12,-0.2,7,17
"1049","FRONTEX","2018-12-01",16,"yes",8,0,8,4,2,2,999,1,36,"no","no",60,43,45,-0.114864864864865,11,12,9,0.03125,150,607
"1050","SRB","2018-12-01",26,"yes",5,0,5,4,0,1,1288,0,2,"no","yes",47,28,7,-0.231707317073171,21,18,6,-0.0666666666666667,10,106
"1051","ACER","2019-01-01",5,"yes",1,0,1,0,1,0,136,0,0,"no","no",1,4,3,0.375,0,0,0,0,0,2
"1052","BEREC OFFICE","2019-01-01",3,"yes",1,0,1,1,0,0,97,0,0,"no","no",0,3,3,0.5,0,1,3,0.25,1,2
"1053","CEDEFOP","2019-01-01",13,"yes",2,0,2,2,0,0,638,0,0,"no","no",0,15,2,0.882352941176471,0,4,0,1,0,0
"1054","CPVO","2019-01-01",7,"yes",0,0,0,0,0,0,34,0,0,"no","no",1,1,0,0,0,0,0,0,0,0
"1055","EASA","2019-01-01",3,"yes",8,0,8,3,1,4,1046,0,3,"no","no",6,28,16,0.44,3,6,2,0.272727272727273,28,90
"1056","EBA","2019-01-01",13,"yes",5,0,5,1,1,3,375,0,9,"no","no",7,7,6,0,5,3,1,-0.222222222222222,72,186
"1057","ECDC","2019-01-01",11,"yes",2,0,2,1,1,0,1382,0,0,"no","no",5,21,10,0.444444444444444,4,11,4,0.368421052631579,1,18
"1058","ECHA","2019-01-01",31,"yes",7,2,9,6,1,2,1694,0,2,"no","no",73,79,37,0.0317460317460317,5,15,4,0.416666666666667,3,35
"1059","EEA","2019-01-01",23,"yes",11,0,11,6,2,3,1578,0,8,"no","no",31,57,28,0.224137931034483,12,11,7,-0.0333333333333333,13,34
"1060","EFCA","2019-01-01",5,"yes",2,0,2,2,0,0,144,0,0,"no","no",0,10,1,0.909090909090909,0,7,0,1,0,1
"1061","EFSA","2019-01-01",55,"yes",3,0,3,1,1,1,1934,0,4,"no","no",17,51,24,0.369565217391304,1,11,5,0.588235294117647,18,113
"1062","EIGE","2019-01-01",26,"yes",6,1,7,3,3,1,547,0,1,"no","no",24,35,13,0.152777777777778,9,10,4,0.0434782608695652,5,10
"1063","EIOPA","2019-01-01",3,"yes",0,0,0,0,0,0,145,0,0,"no","no",0,4,3,0.571428571428571,0,1,3,0.25,0,3
"1064","EMA","2019-01-01",11,"yes",826,0,826,232,107,487,12166,0,20,"no","no",19,65,26,0.418181818181818,2,2,2,0,36,202
"1065","EMCDDA","2019-01-01",2,"yes",3,0,3,0,2,1,681,0,2,"no","no",11,22,8,0.268292682926829,6,7,1,0.0714285714285714,11,38
"1066","EMSA","2019-01-01",17,"yes",1,0,1,1,0,0,368,0,0,"no","no",1,7,1,0.666666666666667,0,3,1,0.75,0,1
"1067","ENISA","2019-01-01",44,"yes",7,1,8,5,1,2,2082,0,0,"no","no",17,73,33,0.455284552845528,8,29,11,0.4375,0,1
"1068","ERA","2019-01-01",4,"yes",1,0,1,1,0,0,194,0,0,"no","no",1,10,4,0.6,0,1,1,0.5,0,1
"1069","ESMA","2019-01-01",24,"yes",2,0,2,1,0,1,1062,0,3,"no","no",48,36,16,-0.12,7,2,1,-0.5,6,36
"1070","EU-OSHA","2019-01-01",32,"yes",4,0,4,4,0,0,623,0,0,"no","no",13,38,10,0.409836065573771,1,14,2,0.764705882352941,0,3
"1071","EUIPO","2019-01-01",77,"yes",12,1,13,7,3,3,1124,0,7,"yes","no",23,75,33,0.396946564885496,8,14,6,0.214285714285714,1,18
"1072","EUROFOUND","2019-01-01",14,"yes",2,1,3,2,1,0,335,0,0,"no","no",6,16,4,0.384615384615385,4,10,2,0.375,1,2
"1073","FRA","2019-01-01",32,"yes",39,0,39,17,5,17,3772,0,0,"no","no",191,157,50,-0.085427135678392,52,24,10,-0.325581395348837,11,23
"1074","FRONTEX","2019-01-01",16,"yes",21,0,21,10,3,8,1006,0,31,"no","no",60,45,45,-0.1,6,14,8,0.285714285714286,95,627
"1075","SRB","2019-01-01",30,"yes",10,0,10,2,5,3,1430,0,0,"no","yes",48,32,7,-0.183908045977011,13,16,6,0.0857142857142857,8,89
"1076","ACER","2019-02-01",2,"yes",0,0,0,0,0,0,114,0,0,"no","no",1,4,4,0.333333333333333,0,0,1,0,0,2
"1077","BEREC OFFICE","2019-02-01",3,"yes",0,0,0,0,0,0,71,0,0,"no","no",0,4,3,0.571428571428571,0,1,1,0.5,1,2
"1078","CEDEFOP","2019-02-01",6,"yes",1,0,1,0,0,1,477,0,0,"no","no",0,14,2,0.875,0,6,0,1,0,0
"1079","CPVO","2019-02-01",6,"yes",0,0,0,0,0,0,30,0,0,"no","no",1,0,0,-1,0,0,0,0,0,0
"1080","EASA","2019-02-01",8,"yes",6,0,6,4,1,1,722,0,5,"no","no",10,30,17,0.350877192982456,7,5,2,-0.142857142857143,27,88
"1081","EBA","2019-02-01",43,"yes",1,0,1,0,1,0,770,0,18,"no","no",10,8,7,-0.08,8,2,2,-0.5,68,181
"1082","ECDC","2019-02-01",11,"yes",11,0,11,6,5,0,1354,0,1,"no","no",5,22,10,0.459459459459459,4,11,5,0.35,1,15
"1083","ECHA","2019-02-01",31,"yes",20,1,21,9,0,12,1511,0,3,"no","no",63,78,35,0.0852272727272727,7,20,4,0.419354838709677,4,36
"1084","EEA","2019-02-01",16,"yes",10,1,11,8,2,1,1966,0,3,"no","no",31,59,29,0.235294117647059,12,10,6,-0.0714285714285714,19,40
"1085","EFCA","2019-02-01",9,"yes",3,0,3,3,0,0,192,0,0,"no","no",0,12,1,0.923076923076923,0,6,0,1,0,0
"1086","EFSA","2019-02-01",34,"yes",6,0,6,4,1,1,1890,0,7,"no","no",18,50,24,0.347826086956522,1,10,5,0.5625,14,108
"1087","EIGE","2019-02-01",20,"yes",2,0,2,0,0,2,727,1,0,"no","no",23,37,16,0.184210526315789,9,6,5,-0.15,4,11
"1088","EIOPA","2019-02-01",6,"yes",0,0,0,0,0,0,187,0,2,"yes","no",0,4,3,0.571428571428571,0,1,3,0.25,0,3
"1089","EMA","2019-02-01",14,"yes",10,0,10,4,0,6,1640,0,23,"no","no",504,285,131,-0.23804347826087,487,234,109,-0.304819277108434,44,198
"1090","EMCDDA","2019-02-01",5,"yes",2,0,2,2,0,0,340,0,0,"no","no",12,22,10,0.227272727272727,1,5,2,0.5,10,39
"1091","EMSA","2019-02-01",19,"yes",4,0,4,3,0,1,293,0,0,"no","no",1,8,1,0.7,0,3,0,1,0,1
"1092","ENISA","2019-02-01",33,"yes",3,0,3,3,0,0,1464,0,0,"no","no",15,66,26,0.476635514018692,8,19,8,0.314285714285714,0,0
"1093","ERA","2019-02-01",4,"yes",0,0,0,0,0,0,118,0,0,"no","no",1,11,4,0.625,0,2,0,1,0,1
"1094","ESMA","2019-02-01",52,"yes",2,0,2,0,1,1,857,0,17,"yes","no",44,29,11,-0.178571428571429,7,2,1,-0.5,7,27
"1095","EU-OSHA","2019-02-01",29,"yes",0,0,0,0,0,0,711,0,0,"no","no",13,41,10,0.4375,0,11,0,1,0,3
"1096","EUIPO","2019-02-01",74,"yes",18,1,19,8,3,8,1079,0,2,"no","no",25,78,34,0.386861313868613,8,14,7,0.206896551724138,7,25
"1097","EUROFOUND","2019-02-01",27,"yes",0,0,0,0,0,0,708,0,0,"no","no",6,18,5,0.413793103448276,2,6,2,0.4,1,1
"1098","FRA","2019-02-01",34,"yes",12,0,12,3,4,5,4106,1,4,"yes","no",195,159,47,-0.0897755610972569,56,30,12,-0.26530612244898,11,18
"1099","FRONTEX","2019-02-01",21,"yes",8,0,8,3,2,3,1472,0,21,"no","no",57,49,37,-0.0559440559440559,12,18,9,0.153846153846154,85,628
"1100","SRB","2019-02-01",14,"yes",1,0,1,0,0,1,669,0,1,"no","no",51,32,12,-0.2,8,8,5,0,5,80
"1101","ACER","2019-03-01",4,"yes",0,0,0,0,0,0,87,0,0,"no","no",1,4,4,0.333333333333333,0,0,1,0,0,2
"1102","BEREC OFFICE","2019-03-01",33,"yes",0,0,0,0,0,0,128,0,0,"no","no",0,4,3,0.571428571428571,0,1,1,0.5,0,2
"1103","CEDEFOP","2019-03-01",16,"yes",2,1,3,2,1,0,834,0,0,"no","no",1,13,2,0.75,1,2,0,0.333333333333333,0,0
"1104","CPVO","2019-03-01",4,"yes",0,0,0,0,0,0,12,0,0,"no","no",1,0,0,-1,0,0,0,0,0,0
"1105","EASA","2019-03-01",14,"yes",42,0,42,21,10,11,2897,1,33,"yes","yes",9,32,15,0.410714285714286,7,8,2,0.0588235294117647,16,86
"1106","EBA","2019-03-01",47,"yes",5,0,5,2,2,1,837,0,24,"yes","no",10,8,5,-0.0869565217391304,7,2,2,-0.454545454545455,33,183
"1107","ECDC","2019-03-01",37,"yes",4,0,4,1,1,2,1574,0,1,"no","no",5,28,13,0.5,2,11,6,0.473684210526316,1,14
"1108","ECHA","2019-03-01",53,"yes",19,2,21,13,1,7,1203,0,4,"no","no",63,76,32,0.0760233918128655,14,22,1,0.216216216216216,7,34
"1109","EEA","2019-03-01",19,"yes",9,0,9,6,1,2,1568,0,3,"no","no",31,60,29,0.241666666666667,7,15,5,0.296296296296296,14,39
"1110","EFCA","2019-03-01",9,"yes",1,0,1,1,0,0,138,0,0,"no","no",0,15,1,0.9375,0,9,0,1,0,0
"1111","EFSA","2019-03-01",57,"yes",10,0,10,7,2,1,2304,0,18,"no","no",12,47,20,0.443037974683544,2,7,4,0.384615384615385,15,105
"1112","EIGE","2019-03-01",32,"yes",6,1,7,3,2,2,711,1,1,"no","no",25,34,14,0.123287671232877,3,5,4,0.166666666666667,1,10
"1113","EIOPA","2019-03-01",7,"yes",0,0,0,0,0,0,130,0,0,"no","no",0,4,3,0.571428571428571,0,0,0,0,2,5
"1114","EMA","2019-03-01",31,"yes",607,1,608,248,72,288,7214,0,10,"no","no",507,278,127,-0.25109649122807,493,236,108,-0.307048984468339,54,191
"1115","EMCDDA","2019-03-01",17,"yes",6,0,6,2,1,3,776,0,4,"no","no",11,23,9,0.27906976744186,1,5,2,0.5,8,36
"1116","EMSA","2019-03-01",8,"yes",1,0,1,1,0,0,1733,0,1,"yes","yes",2,9,1,0.583333333333333,1,5,0,0.666666666666667,0,0
"1117","ENISA","2019-03-01",52,"yes",10,0,10,7,1,2,2116,0,0,"no","no",15,67,23,0.495238095238095,6,13,6,0.28,0,0
"1118","ERA","2019-03-01",12,"yes",1,0,1,1,0,0,294,0,1,"no","no",1,11,3,0.666666666666667,0,1,0,1,0,1
"1119","ESMA","2019-03-01",46,"yes",3,0,3,1,1,1,756,0,6,"yes","no",41,27,10,-0.179487179487179,3,1,2,-0.333333333333333,21,39
"1120","EU-OSHA","2019-03-01",50,"yes",6,0,6,5,1,0,892,0,0,"no","no",11,39,10,0.466666666666667,0,9,0,1,0,3
"1121","EUIPO","2019-03-01",90,"yes",18,0,18,5,12,1,1654,0,4,"no","no",32,85,31,0.358108108108108,13,20,7,0.175,9,24
"1122","EUROFOUND","2019-03-01",21,"yes",2,0,2,0,2,0,481,0,0,"no","no",6,18,5,0.413793103448276,0,2,1,0.666666666666667,1,1
"1123","FRA","2019-03-01",41,"yes",17,0,17,5,3,9,3594,0,2,"no","no",189,145,47,-0.115485564304462,41,28,13,-0.158536585365854,10,21
"1124","FRONTEX","2019-03-01",24,"yes",6,0,6,4,2,0,1099,0,32,"no","no",52,49,36,-0.0218978102189781,13,17,7,0.108108108108108,88,612
"1125","SRB","2019-03-01",20,"yes",3,0,3,2,0,1,1484,0,4,"no","yes",49,32,12,-0.182795698924731,5,6,5,0.0625,3,58
"1126","ACER","2019-04-01",3,"yes",0,0,0,0,0,0,59,0,1,"yes","no",1,4,4,0.333333333333333,0,0,1,0,0,2
"1127","BEREC OFFICE","2019-04-01",7,"yes",1,0,1,0,0,1,164,0,0,"no","no",0,4,3,0.571428571428571,0,1,0,1,0,2
"1128","CEDEFOP","2019-04-01",49,"yes",4,0,4,3,1,0,1264,0,1,"yes","no",1,15,2,0.777777777777778,1,4,1,0.5,0,0
"1129","CPVO","2019-04-01",10,"yes",0,0,0,0,0,0,31,0,0,"no","no",0,0,0,0,0,0,0,0,0,0
"1130","EASA","2019-04-01",10,"yes",11,0,11,4,1,6,1175,0,7,"no","no",20,42,21,0.265060240963855,16,28,12,0.214285714285714,41,110
"1131","EBA","2019-04-01",26,"yes",0,0,0,0,0,0,428,0,5,"no","no",10,9,7,-0.0384615384615385,4,3,4,-0.0909090909090909,51,197
"1132","ECDC","2019-04-01",22,"yes",4,0,4,1,3,0,1511,0,3,"no","no",7,27,14,0.416666666666667,2,8,7,0.352941176470588,2,13
